Magyar név,Mai hivatalos név,Ország
Barkaszó,Barkaszove,UA
Barkó,Brekov,SK
Barkóc,Bakovci,SLO
Barkócháza,Ruská Volová,SK
Barlabástanya,Bârlibaş,RO
Barlafalu,Borleşti,RO
Barnabás,Kosztilivka,UA
Barnafalva,Bârna,RO
Báródbeznye,Delureni,RO
Báródsomos,Corniţel,RO
Baromlak,Borumlaca,RO
Barossháza,Pružina,SK
Barót,Baraolt,RO
Barsbaracska,Bardoňovo,SK
Barsberzence,Tekovská Breznica,SK
Barsbese,Beša,SK
Barsendréd,Ondrejovce,SK
Barsfüss,Trávnica,SK
Barskapronca,Kopernica,SK
Barskisfalud,Vieska nad Žitavou,SK
Barslédec,Ladice,SK
Bársonyfalva,Brezon,RO
