Magyar név,Mai hivatalos név,Ország
Lazonpatak,Podproč,SK
Lazony,Ložín,SK
Lécfalva,Leţ,RO
Lecsmér,Leşmir,RO
Lédec,Ladice,SK
Lédec,Ladce,SK
Ledény,Ladzany,SK
Lednic,Lednica,SK
Lednichidas,Mostište,SK
Lednickisfalu,Mestečko,SK
Lednicróna,Lednické Rovne,SK
Lednicváralja,Lednická Lehota,SK
Lefája,Lefaia,RO
Lég,Lehnice,SK
Legelővölgy,Pšurnovice,SK
Légen,Legii,RO
Legenye,Luhyňa,SK
Légrád,Legrad,HR
Lehecsény,Leheceni,RO
Lehelfalva,Revúcka Lehota,SK
Lehnicz,Lechnica,SK
Lehóc,Ljahivci,UA
Lehomér,Lemerje,SLO
Leibic,Ľubica,SK
Lejtős,Sverepec,SK
Léka,Lockenhaus,A
Lekenceiforduló,Tăblăşeni,RO
Lekenye,Bohuňovo,SK
Lekér,Hronovce,SK
Lele,Lelei,RO
Leléd,Leľa,SK
Lelesd,Leleşti,RO
Lelesz,Lelese,RO
Lelesz,Leles,SK
Lelőc,Horné Lelovce,SK
Lemény,Lemniu,RO
Lemes,Lemešany,SK
Lemhény,Lemnia,RO
Lemnek,Lovnic,RO
Lénárdfalva,Recea,RO
Lénártfalva,Lenartovce,SK
Lénártó,Lenartov,SK
Lendva,Lendava,SLO
Lendvaerdő,Renkovci,SLO
Lendvahegy,Lendavske Gorice,SLO
Lendvahídvég,Mostje,SLO
Lendvahosszúfalu,Dolga Vas,SLO
Lendvakirályfa,Krašči,SLO
Lendvakislak,Krnci,SLO
Lendvalakos,Gornji Lakoš,SLO
Lendvanemesd,Nemčavci,SLO
Lendvanyíres,Brezovica,SLO
Lendvarózsavölgy,Gančani,SLO
Lendvaszentjózsef,Gomilica,SLO
Lendvavásárhely,Dobrovnik,SLO
Lenes,Leniş,RO
Lengvárt,Dlhé Stráže,SK
Lengyelfalva,Košická Polianka,SK
Lengyelszállás,Liszkovec,UA
Lenke,Lenka,SK
Lentő,Lentvora,SK
Leordina,Leordina,RO
Lépesfalva,Loipersbach im Burgenland,A
Leppend,Lepindea,RO
Lepus,Arieşeni,RO
Les,Leşu,RO
Lesnyek,Leşnic,RO
Lesses,Dealu Frumos,RO
Lest,Lešť,SK
Lestin,Leštiny,SK
Lestyén,Liešťany,SK
Leszenye,Lesenice,SK
Leszkovány,Lieskovany,SK
Leszna,Lesné,SK
Létánfalva,Letanovce,SK
Letenőc,Letničie,SK
Létér,Lebenbrunn,A
Létka,Letca,RO
Léva,Levice,SK
Lévárt,Leváre,SK
Leveles,Lopusne,UA
Lévna,Livina,SK
Lézsa,Ležiachov,SK
Liba,Minihof-Liebau,A
Libád,Ľubá,SK
Libáka,Libichava,SK
Libán,Liban,RO
Libánfalva,Ibăneşti,RO
Libaton,Libotin,RO
Libetbánya,Ľubietova,SK
Liborcsudvard,Ľuborča,SK
Lice,Licince,SK
Licsérd,Ličartovce,SK
Lidértejed,Lidér Tejed,SK
Liebling,Liebling,RO
Ligetes,Luh,UA
Ligetfalva,Šafarsko,SLO
Ligetvár,Draškovec,HR
Ligvánd,Nebersdorf,A
Likavka,Likavka,SK
Likér,Likier,SK
Liliomos,Lalić,YU
Limpak,Limbach,SK
Lincitanyák,Linţ,RO
Lindzsina,Izvoarele,RO
Lipár,Lipar,YU
Lipcse,Lipcsa,UA
Lipcsemező,Lipecka Poljana,UA
Lipcseutca,Ľupčianska Ulica,SK
Lipnikpuszta,Lipníky,SK
Lipóc,Lipovec,SK
Lipóc,Steinfurt,A
Lipótfalva,Loipersdorf im Burgenland,A
Lipové,Lipové,SK
Lipovnok,Lipovník,SK
Lippa,Lipova,RO
Lippakékes,Checheş,RO
Lippakeszi,Chesinţ,RO
Liptószentmiklós,Liptovský Mikuláš,SK
Liptótepla,Liptovská Teplá,SK
Liptóújvár,Liptovský Hrádok,SK
Lissó,Lišov,SK
Lisza,Lisa,RO
Liszárnya,Liszarnya,UA
Liszkófalu,Lisková,SK
Lisznyó,Lisnău,RO
Lisznyópatak,Lisnău-Vale,RO
Litinye,Ľutina,SK
Litó,Ľutov,SK
Litva,Litava,SK
Litvaberzseny,Brezany,SK
Litvailló,Lietavská Lúčka,SK
Litvaszinye,Lietavská Svinná,SK
Livádia,Livadia,RO
Livazény,Livezeni,RO
Livóhuta,Livovská Huta,SK
Ljeszek,Liesek,SK
Lobonya,Lubina,SK
Lóc,Loţu,RO
Locsmánd,Lutzmannsburg,A
Lodnó,Lodno,SK
Lodormány,Lodroman,RO
Lófalu,Kobyly,SK
Lohó,Lohove,UA
Lók,Unterfrauenhaid,A
Lóka,Lavki,UA
Lokcza,Lokca,SK
Lókod,Locodeni,RO
Lomány,Loman,RO
Lombfalva,Dumbrava,RO
Lombos,Lopusanka,UA
Lomna,Lomná,SK
Lomna,Lomné,SK
Lompérd,Zoreni,RO
Lónapoklostelke,Pâglişa,RO
Long,Lužany pri Topli,SK
Longodár,Dăişoara,RO
Lonka,Lunka,UA
Lonka,Lunca la Tisa,RO
Lonkafalva,Borleasa,RO
Lontó,Lontov,SK
Lónyabánya,Lovinobaňa,SK
Lopér,Podbrezová,SK
Lorettom,Loretto,A
Losonc,Lučenec,SK
Losoncapátfalva,Opatová,SK
Losonctamási,Tomášovce,SK
Losoncznagyfalu,Veľká Ves,SK
Lótos,Lutiše,SK
Lovászad,Luising,A
Lóvész,Livezi,RO
Lovrin,Lovrin,RO
Loza,Loza,UA
Lozánszka,Lozjanszkij,UA
Lóznavölgy,Valea Loznei,RO
Lozorno,Lozorno,SK
Lozsád,Jeledinţi,RO
Lózsárd,Lujerdiu,RO
Lőcs,Luč,HR
Lőcse,Levoča,SK
Lőcseszentanna,Závada,SK
Lődös,Litzelsdorf,A
Lögérpatony,Horná Potôň,SK
Lök,Lok,SK
Lőkös,Levkuška,SK
Lőkösfalva,Leucuşeşti,RO
Lökösháza,Levkuška,SK
Lőrincfalva,Leordeni,RO
Lőrinci,Leorinţa,RO
Lőrincidúlő,Leorinţa-Şăulia,RO
Lőrincréve,Leorinţ,RO
Lőrincvágása,Vavrinec,SK
Lövér,Luieriu,RO
Lövéte,Lueta,RO
Lővétebánya,Minele Lueta,RO
Lubény,Lubeník,SK
Lublókorompa,Kremna,SK
Lublóváralja,Podsadek,SK
Lubnya,Lubnya,UA
Lubóc,Ľubovec,SK
Luboka,Hlboké,SK
Lubotény,Ľubotín,SK
Luca,Luţa,RO
Lucatő,Lučatín,SK
Lúcs,Lúč na Ostrove,SK
Lucsivna,Lučivná,SK
Lucska,Lúčka,SK
Lucski,Lúčky,SK
Ludas,Šupljak,YU
Ludesd,Ludeştii de Jos,RO
Ludisor,Ludişor,RO
Ludvég,Logig,RO
Lugos,Lugoj,RO
Lugosegres,Hezeriş,RO
Lugoshely,Lugojel,RO
Lugoskisfalu,Victor Vlad Delamarina,RO
Lugozó,Luguzău,RO
Luh,Luh,UA
Lukácsfa,Lukačevci,SLO
Lukácsfalva,Lukino Selo,YU
Lukácsi,Lukačovce,SK
Lukácskő,Lucareţ,RO
Lukafalva,Gheorghe Doja,RO
Lukailencfalva,Ilieni,RO
Lukanénye,Nenince,SK
Lukanyénye,Nenince,SK
Lukó,Lukov,SK
Lukóca,Lukavica,SK
Lukova,Lukove,UA
Lungsor,Luncşoara,RO
Lunka,Lunca Calnicului,RO
Lunka,Lunca,RO
Lunkány,Luncani,RO
Lunkány,Luncani,RO
Lunkatanya,Valea Luncii,RO
Lunksora,Luncşoara,RO
Lupény,Lupeni,RO
Lupsa,Lupşa,RO
Lupsapatak,Valea Lupşii,RO
Lutilla,Lutila,SK
Luzsány,Šarišské Lužianky,SK
Lúzsna,Liptovská Lúžna,SK
Lüget,Arini,RO
Lüki,Iteu,RO
Lükigergelyfalu,Lúky-Gergeľová,SK
Lüle,Lula,SK
Lyahóc,Liszkovec,UA
Lyauc,Leauţ,RO
Lyuta,Ljuta,UA
Macedónia,Macedonia,RO
Macesd,Zăvoi,RO
Macháza,Macov,SK
Mácsa,Macea,RO
Macskamező,Răzoare,RO
Macskás,Măcicăşeşti,RO
Mácsó,Măceu,RO
Macsola,Mocsola,UA
Mácsova,Maciova,RO
Mad,Mad,SK
Máda,Mada,RO
Madácsi,Madačka,SK
Madar,Modrany,SK
Madaras,Mădăraşeni,RO
Madarasalja,Kľak,SK
Madarász,Mădăras,RO
Madarsák,Mădrigeşti,RO
Madéfalva,Siculeni,RO
Madocsán,Madočany,SK
Mág,Mag,RO
Magaré,Pelişor,RO
Magas,Vysoká,SK
Magasfok,Trdkova,SLO
Magashegy,Neudauberg,A
Magasi,Horenická Hôrka,SK
Magaslak,Vysoká,SK
Magasmajtény,Hrušov,SK
Magasmart,Brehy,SK
Magasrév,Vysoká nad Uhom,SK
Magastető,Ozsoverh,UA
Magosfalu,Mogoşeşti,RO
Magura,Măgura Ilvei,RO
Magura,Măgura,RO
Magura,Măgura-Topliţa,RO
Magura,Măgura,RO
Magura,Poiana Măgura,RO
Magureny,Măgureni,RO
Magyarád,Măderat,RO
Magyarandrásfalva,Andreeni,RO
Magyarapáca,Opatiţa,RO
Magyarbagó,Băgău,RO
Magyarbaksa,Bocşiţa,RO
Magyarbece,Beţa,RO
Magyarbél,Veľký Biel,SK
Magyarbénye,Biia,RO
Magyarberéte,Bretea,RO
Magyarberkesz,Berchez,RO
Magyarbikal,Bicălatu,RO
Magyarbodza,Buzăul Ardelean,RO
Magyarborosbocsárd,Bucerdea Vinoasă,RO
Magyarborzás,Bozieş,RO
Magyarbőd,Bidovce,SK
Magyarbrettye,Bretea Streiului,RO
Magyarbükkös,Bichiş,RO
Magyarcsaholy,Cehăluţ,RO
Magyarcséke,Ceica,RO
Magyarcserged,Cergău Mare,RO
Magyarcsernye,Nova Crnja,YU
Magyarcsesztve,Cisteiu de Mureş,RO
Magyardécse,Cireşoaia,RO
Magyardellő,Dileu Nou,RO
Magyarderzse,Dârja,RO
Magyardiószeg,Sládkovičovo,SK
Magyarfalu,Uhorská Ves,SK
Magyarfalu,Záhorská Ves,SK
Magyarfelek,Feleag,RO
Magyarfenes,Vlaha,RO
Magyarfodorháza,Fodora,RO
Magyarforró,Fărău,RO
Magyarfráta,Frata,RO
Magyarfülpös,Filpişu Mare,RO
Magyargorbó,Gârbău,RO
Magyargoroszló,Guruslău,RO
Magyargurab,Veľký Grob,SK
Magyargyepes,Calea Mare,RO
Magyargyerőmonostor,Mănăstireni,RO
Magyarhegymeg,Dolné Zahorany,SK
Magyarherepe,Herepea,RO
Magyarhermány,Herculian,RO
Magyarhidegkút,Vidacutul Unguresc,RO
Magyarigen,Ighiu,RO
Magyarittebe,Novi Itebej,YU
Magyarizsép,Nižný Žipov,SK
Magyarjakabfalva,Jakubovany,SK
Magyarkályán,Căianu,RO
Magyarkanizsa,Kanjiža,YU
Magyarkanizsa,Stara Kanjiža,YU
Magyarkapronca,Koprivnica,SK
Magyarkapud,Căpud,RO
Magyarkapus,Căpuşu Mare,RO
Magyarkéc,Cheţ,RO
Magyarkecel,Meseşenii de Jos,RO
Magyarkékes,Unguraş,RO
Magyarkelecsény,Kapušianske Kľačany,SK
Magyarkirályfalva,Crăieşti,RO
Magyarkiskapus,Căpuşu Mic,RO
Magyarkomját,Veliki Komjati,UA
Magyarköblös,Cubleşu Someşan,RO
Magyarkrucsó,Nižný Kručov,SK
Magyarlapád,Lopadea Nouă,RO
Magyarlápos,Târgu Lăpuş,RO
Magyarléta,Liteni,RO
Magyarlóna,Luna de Sus,RO
Magyarmacskás,Măcicaşu,RO
Magyarmajdány,Majdan,YU
Magyarmedves,Urseni,RO
Magyarmocsár,Močiar,SK
Magyarnádas,Nădăşelu,RO
Magyarnemegye,Nimigea de Jos,RO
Magyaró,Aluniş,RO
Magyarókereke,Alunişu,RO
Magyarós,Măgheruş,RO
Magyaróság,Pădureni,RO
Magyarosd,Mănerău,RO
Magyarózd,Ozd,RO
Magyarpadé,Novi Padej,YU
Magyarpalatka,Pălatca,RO
Magyarpatak,Făgetu,RO
Magyarpécska,Rovine,RO
Magyarpete,Petea,RO
Magyarpeterd,Petreştii de Jos,RO
Magyarpéterfalva,Petrisat,RO
Magyarpéterlaka,Petrilaca de Mureş,RO
Magyarraszlavica,Uhorské Raslavice,SK
Magyarrégen,Reghin Sat,RO
Magyarremete,Remetea,RO
Magyarsárd,Şardu,RO
Magyarsáros,Deleni,RO
Magyarsas,Zemplínske Jastrabie,SK
Magyarsók,Šok,SK
Magyarsolymos,Şoimuş,RO
Magyarsülye,Şilea,RO
Magyarszákos,Sacoşu Mare,RO
Magyarszarvaskend,Corneşti,RO
Magyarszentbenedek,Sânbenedic,RO
Magyarszentmárton,Sânmartinu Maghiar,RO
Magyarszentmihály,Mihajlovo,YU
Magyarszentpál,Sânpaul,RO
Magyarszilvás,Pruniş,RO
Magyarszovát,Suatu,RO
Magyarszőgyén,Svodín,SK
Magyartonk,Tonkovce,SK
Magyarvalkó,Văleni,RO
Magyarvista,Viştea,RO
Magyarvölgye,Valea Ungurului,RO
Magyarzsákod,Jacodu,RO
Magyarzsombor,Zimbor,RO
Mahálfalva,Machalovce,SK
Maholány,Machulince,SK
Mailáth,Prestavlky,SK
Maiss,Majiške Medje,HR
Mája,Maia,RO
Majdán,Brădişoru de Jos,RO
Majdánka,Majdan,UA
Majláthfalva,Mailat,RO
Major,Maieru,RO
Majorfalva,Majer,SK
Majorka,Ihľany,SK
Majorka,Majurki,UA
Majorlak,Marof,HR
Majoros,Majerovce,SK
Majosfalva,Mojš,SK
Majosmező,Majšova Lúčka,SK
Majszin,Moisei,RO
Majtény,Majcichov,SK
Makarja,Makarove,UA
Makfalva,Ghindari,RO
Makkosjánosi,Janosi,UA
Mákófalva,Macău,RO
Mákos,Makovce,SK
Mákosfalva,Macovişte,RO
Makranc,Mokrance,SK
Maksa,Moacşa,RO
Mál,Mal,RO
Malacka,Malacky,SK
Maladé,Mălădia,RO
Malajesd,Mălăieşti,RO
Malakóperesény,Malachov,SK
Málas,Málaš,SK
Malatina,Malatiná,SK
Málca,Malčice,SK
Malcó,Malcov,SK
Maldur,Podhorany,SK
Malmos,Sztrojne,UA
Málnapatak,Málinec,SK
Málnás,Malnaş,RO
Málnásfürdő,Malnaş-Băi,RO
Malomárka,Monariu,RO
Malomfalva,Moreşti,RO
Malomgödör,Mühlgraben,A
Malomháza,Kroatisch Minihof,A
Malompatak,Mlynica,SK
Malomrét,Zsornava,UA
Malomszeg,Brăişoru,RO
Malomviz,Râu de Mori,RO
Malonya,Mlyňany,SK
Maluzsina,Malužiná,SK
Maniga,Malženice,SK
Mankóc,Mankovce,SK
Mánya,Maia,RO
Mányik,Manic,RO
Maradék,Maradik,YU
Máragyulafalva,Giuleşti,RO
Máramarossziget,Sighetu Marmaţiei,RO
Marcelháza,Marcelová,SK
Marcelkeszi,Marcelová,SK
Márcfalva,Marz,A
Marciháza,Marţihaz,RO
Mardos,Moardăş,RO
Máréfalva,Satu Mare,RO
Márga,Marga,RO
Marginen,Mărgineni,RO
Margitfalva,Margecany,SK
Margithegy,Kapelšćak,HR
Margitta,Marghita,RO
Margjelos,Radovanovac,YU
Margonya,Marhaň,SK
Máriafalva,Mariasdorf,A
Máriafölde,Teremia Mare,RO
Máriahavas,Ştinăpari,RO
Máriakút,Rafajovce,SK
Máriaradna,Radna,RO
Máriatölgyes,Dubnica nad Váhom,SK
Máriavölgy,Marianka,SK
Marikó,Dolná Maríková,SK
Marikórásztoka,Horná Mariková,SK
Márk,Markovce,SK
Márkaszék,Marca,RO
Márkcsemernye,Pusté Čemerné,SK
Márkfalva,Jazernica,SK
Márkod,Mărculeni,RO
Márkos,Mărcuş,RO
Márktelke,Markovac,YU
Márkusfalva,Markušovce,SK
Márkusháza,Markišavci,SLO
Márkuska,Markuška,SK
Marócháza,Moruţ,RO
Marokháza,Tăuşeni,RO
Marokrét,Markovci,SLO
Máron,Marin,RO
Marosagárd,Poieniţa,RO
Marosaszó,Ususău,RO
Marosbárdos,Bărdeşti,RO
Marosbéld,Beldiu,RO
Marosberkes,Birchiş,RO
Marosbogát,Bogata,RO
Marosborgó,Mureşenii Bârgăului,RO
Marosborosznok,Bruznic,RO
Marosborsa,Bârzava,RO
Marosbrettye,Bretea Mureşană,RO
Maroscsapó,Cipău,RO
Maroscsicsér,Cicir,RO
Maroscsúcs,Stâna de Mureş,RO
Maroscsüged,Ciugud,RO
Marosdátos,Dătăşeni,RO
Marosdécse,Decea,RO
Marosdég,Deag,RO
Maroseperjes,Chelmac,RO
Maroserdőd,Pădurani,RO
Marosesd,Mărăşeşti,RO
Marosfalva,Marušová,SK
Marosfelfalu,Suseni,RO
Marosfő,Izvoru Mureşului,RO
Marosgezse,Gheja,RO
Marosgombás,Gâmbaş,RO
Marosgórós,Groşi,RO
Maroshéviz,Topliţa,RO
Maroshollód,Corbeşti,RO
Marosillye,Ilia,RO
Marosjára,Iara de Mureş,RO
Maroskapronca,Căpruţa,RO
Maroskáptalan,Căptălan,RO
Maroskarna,Blandiana,RO
Maroskece,Cheţani,RO
Maroskeresztúr,Cristeşti,RO
Maroskisfalud,Miceşti,RO
Maroskoppánd,Copand,RO
Maroskövesd,Pietriş,RO
Maroslaka,Maioreşti,RO
Maroslekence,Lechinţa,RO
Marosliget,Dumbrava,RO
Marosludas,Luduş,RO
Marosmonyoró,Monoroştia,RO
Marosnagylak,Noşlac,RO
Marosnagyvölgy,Valea Mare,RO
Marosnémeti,Mintia,RO
Marosorbó,Oarba de Mureş,RO
Marosoroszfalu,Ruşii-Munţi,RO
Marosoroszi,Orosia,RO
Marosoroszi,Urisiu de Sus,RO
Marosörményes,Ormeniş,RO
Marospetres,Petriş,RO
Marossárpatak,Glodeni,RO
Marossolymos,Şoimuş,RO
Marostelek,Teleac,RO
Marosugra,Ogra,RO
Marosújvár,Ocna Mureş,RO
Marosvásárhely,Târgu Mureş,RO
Marosvécs,Brâncoveneşti,RO
Marosveresmart,Vereşmort,RO
Marosszalatna,Slatina de Mureş,RO
Marosszeleste,Selişte,RO
Marosszentanna,Sântana de Mureş,RO
Marosszentgyörgy,Sângeorgiu de Mureş,RO
Marosszentimre,Sântimbru,RO
Marosszentjakab,Sâniacob,RO
Marosszentkirály,Sâncraiu de Mureş,RO
Marossziget,Ostrov,RO
Marót,Moroda,RO
Marótlaka,Morlaca,RO
Márpod,Marpod,RO
Marsófalva,Maršová,SK
Martalja,Motyčky,SK
Martfalva,Ţărmure,RO
Martinesd,Mărtineşti,RO
Martinka,Krajnya Martinka,UA
Martinya,Martinje,SLO
Martonfala,Martinová,SK
Martonfalva,Metiş,RO
Mártonhalom,Martinuševec,HR
Martonháza,Ochtiná,SK
Mártonhegy,Şomartin,RO
Mártonhely,Martjanci,SLO
Mártonka,Mala Martinka,UA
Martonos,Martonoš,YU
Martontelke,Motiş,RO
Martos,Martovce,SK
Marzsina,Margina,RO
Maskóc,Maškovce,SK
Maskófalva,Mašková,SK
Máslak,Maşloc,RO
Maszárfalva,Nehrove,UA
Mászt,Mást,SK
Máté,Matysová,SK
Mátéfalva,Mateiaş,RO
Mateóc,Matejovce,SK
Mátévágása,Matovce,SK
Mátévölgye,Padina Matei,RO
Mátisfalva,Mătişeni,RO
Mátyásdomb,Mačkovci,SLO
Mátyásfalva,Môťová,SK
Mátyáska,Matiaška,SK
Mátyásmező,Măceşti,RO
Mátyfalva,Matyijeve,UA
Mátyóc,Maťovské Vojkovce,SK
Mátyócvajkóc,Maťovské Vojkovce,SK
Mecenzéf,Medzev,SK
Meddes,Medişa,RO
Medence,Migyanica,UA
Medesér,Medişoru Mare,RO
Medgyes,Mediaş,RO
Medne,Medné,SK
Medve,Medveďov,SK
Medvedze,Medvedzie,SK
Medvefalva,Medvezsje,UA
Medvegyóc,Medvegyivci,UA
Medveshidegkút,Studená,SK
Medvezsa,Medvezsje,UA
Medzibrogy,Medzibrodie nad Oravou,SK
Medzihradne,Medzihradné,SK
Megye,Medzany,SK
Megyercs,Čalovec,SK
Meggyes,Višnjevac,YU
Meggyes,Radivojevičevo,YU
Meggyesfalva,Mureşeni,RO
Meggyesgombás,Dumbrava,RO
Meggyeshegy,Medieş-Vii,RO
Meggyfalu,Oľšinkov,SK
Meggykerék,Meşcreac,RO
Mehádia,Mehadia,RO
Méhelő,Miheleu,RO
Méhesfalva,Pčoliné,SK
Méhész,Včeláre,SK
Méhi,Včelince,SK
Méhkertek,Colonia Reconstrucţia,RO
Melcsic,Melčice-Lieskové,SK
Melegföldvár,Feldioara,RO
Meleghegy,Teplý Vrch,SK
Melegszamos,Someşu Cald,RO
Melence,Melenci,YU
Mellek,Melek,SK
Melléte,Meliata,SK
Mélykastély,Kuštilj,YU
Mélynádas,Nadăş,RO
Mélyút,Hliboke,UA
Ménaságújfalu,Armăşenii Noi,RO
Mencsér,Rettenbach,A
Ménes,Miniş,RO
Menguszfalva,Mengusovce,SK
Ménhárd,Vrbov,SK
Menyéd,Minead,RO
Menyháza,Moneasa,RO
Menyhe,Podhorany,SK
Menyő,Mineu,RO
Méra,Mera,RO
Mérág,Mierag,RO
Mercyfalva,Carani,RO
Mércse,Mircsa,UA
Mercsény,Mercina,RO
Mere,Merovce,SK
Meredély,Príkra,SK
Meregyó,Mărgău,RO
Mérem,Miedlingsdorf,A
Merény,Nálepkovo,SK
Merészpatak,Merník,SK
Mérfalva,Miroľa,SK
Mérgesvágása,Nová Polianka,SK
Merisor,Merişor,RO
Merisor,Merişoru de Munte,RO
Merisortanya,Merişoru,RO
Mermesd,Mermeşti,RO
Merőce,Merašice,SK
Mese,Meşendorf,RO
Mesterháza,Meştera,RO
Mészdorgos,Varniţa,RO
Mészégető,Vápeník,SK
Meszes,Mesić,YU
Meszesfalu,Mesić,YU
Meszesszentgyörgy,Sângeorgiu de Meseş,RO
Mészkő,Cheia,RO
Mészpest,Kucany,SK
Mesztákon,Mesteacăn,RO
Mészverem,Kalkgruben,A
Mészvölgy,Kalch,A
Metesd,Meteş,RO
Mézes,Mizieş,RO
Mézgás,Miezgovce,SK
Mézged,Meziad,RO
Méznevelő,Medovarce,SK
Mezőakna,Ocniţa,RO
Mezőaranyos,Arieşu de Câmp,RO
Mezőbaj,Boiu,RO
Mezőbánd,Band,RO
Mezőbanyica,Băiţa,RO
Mezőbarátfalva,Brăteni,RO
Mezőbergenye,Berghia,RO
Mezőbikács,Bicaci,RO
Mezőbodon,Papiu Ilarian,RO
Mezőbottyán,Botean,RO
Mezőbő,Boian,RO
Mezőceked,Valea Largă,RO
Mezőcsán,Ceanu Mare,RO
Mezőcsávás,Ceuaşu de Câmpie,RO
Meződomb,Dâmbu,RO
Mezőerked,Archiud,RO
Mezőfele,Câmpeniţa,RO
Mezőfény,Foieni,RO
Mezőgecse,Hecsa,UA
Mezőgerebenes,Grebenişu de Câmpie,RO
Mezőgyéres,Ghirişu Român,RO
Mezőharasztos,Frunzeni,RO
Mezőhát,Lazescsina,UA
Mezőhomok,Homok,UA
Mezőhuta,Poljanszka Huta,UA
Mezőkapus,Căpuşu de Câmpie,RO
Mezőkaszony,Kaszony,UA
Mezőkecsed,Miceştii de Câmpie,RO
Mezőkeszi,Poľný Kesov,SK
Mezőkeszü,Chesău,RO
Mezőkirályfalva,Crăieşti,RO
Mezőkók,Pădurenii,RO
Mezőköbölkút,Fântâniţa,RO
Mezőkölpény,Culpiu,RO
Mezőköz,Medzibrod,SK
Mezőlaborc,Medzilaborce,SK
Mezőlivádia,Livadia,RO
Mezőmadaras,Mădăraş,RO
Mezőmajos,Moişa,RO
Mezőméhes,Miheşu de Câmpie,RO
Mezőménes,Herghelia,RO
Mezőőr,Iuriu de Câmpie,RO
Mezőőrke,Urca,RO
Mezőörményes,Urmeniş,RO
Mezőpagocsa,Pogăceaua,RO
Mezőpanit,Pănet,RO
Mezőpatak,Polerieka,SK
Mezőpete,Petea,RO
Mezőpetri,Petreşti,RO
Mezőrücs,Râciu,RO
Mezős,Câmpani,RO
Mezősályi,Şăulia,RO
Mezősámsond,Şincai,RO
Mezősolymos,Stupini,RO
Mezősomlyó,Şemlacu Mare,RO
Mezőszabad,Voiniceni,RO
Mezőszabolcs,Săbolciu,RO
Mezőszakadát,Săcădat,RO
Mezőszakál,Bărboşi,RO
Mezőszava,Sava,RO
Mezőszengyel,Sânger,RO
Mezőszentandrás,Sântu,RO
Mezőszentjakab,Iacobeni,RO
Mezőszentmargita,Sânmărghita,RO
Mezőszentmárton,Sânmărtinu de Câmpie,RO
Mezőszentmihály,Sânmihaiu de Câmpie,RO
Mezőszilvás,Silivaşu de Câmpie,RO
Mezőszokol,Socolu de Câmpie,RO
Mezőszombattelke,Sâmboleni,RO
Mezőszopor,Soporu de Câmpie,RO
Mezőtelegd,Tileagd,RO
Mezőtelkes,Mojín,SK
Mezőtelki,Telechiu,RO
Mezőterebes,Sztrabicsove,UA
Mezőterem,Tiream,RO
Mezőtóhát,Tăureni,RO
Mezőújfalu,Vaideiu,RO
Mezőújlak,Delureni,RO
Mezőuraly,Oroiu de Câmpie,RO
Mezővár,Tešanovci,SLO
Mezővelkér,Răzoare,RO
Mezőveresegyháza,Strugureni,RO
Mezőviszolya,Visuia,RO
Mezőzáh,Zau de Câmpie,RO
Mezőzsadány,Corneşti,RO
Miava,Myjava,SK
Micske,Mişca,RO
Migléc,Milhosť,SK
Miglécnémeti,Milhosť,SK
Miglész,Milhostov,SK
Miglészpataka,Gemerský Milhosť,SK
Mihajló,Michajlov,SK
Mihálcfalva,Mihalţ,RO
Mihalesd,Mihăieşti,RO
Mihálka,Krajnikove,UA
Mihályfalva,Boarta,RO
Mihálytelek,Michalová,SK
Miheleny,Mihăileni,RO
Mikanesd,Micăneşti,RO
Mikefalva,Mica,RO
Mikeháza,Mica,RO
Mikelaka,Micălaca,RO
Mikes,Miceşti,RO
Mikeszásza,Micăsasa,RO
Mikevágása,Mičakovce,SK
Mikháza,Călugăreni,RO
Miklóirtás,Lăzăreni,RO
Miklósfalva,Nicoleşti,RO
Miklóshalma,Nickelsdorf,A
Miklósháza,Nicolinţ,RO
Miklóslaka,Micoşlaca,RO
Miklóstelke,Cloaşterf,RO
Miklósvágása,Miklušovce,SK
Miklósvár,Micloşoara,RO
Miklósvölgye,Mikulášová,SK
Mikó,Miková,SK
Mikófa,Miklavec,HR
Mikola,Micula,RO
Mikolapatak,Văleni,RO
Mikolcsány,Mikolčany,SK
Mikosfalva,Mikušovce,SK
Mikószalatna,Slatina de Criş,RO
Mikószilvás,Silivaş,RO
Mikóújfalu,Micfalău,RO
Miksavár,Macinec,HR
Miksi,Mikušovce,SK
Mikszáthfalva,Sklabiná,SK
Militics,Srpski Miletić,YU
Milohó,Milochov,SK
Milova,Milova,RO
Milpospuszta,Milpoš,SK
Milvány,Miluani,RO
Minaj,Minaj,UA
Minyevágása,Miňovce,SK
Mircse,Mircsa,UA
Mirigyalja,Mirigioaia,RO
Miriszló,Mirăslău,RO
Mirkóc,Milcoveni,RO
Mirkvásár,Mercheaşa,RO
Misérd,Nové Košariská,SK
Miskafalva,Miskarovica,UA
Miskarovica,Miskarovica,UA
Mislye,Myslina,SK
Miszbánya,Nistru,RO
Miszlóka,Myslava,SK
Miszmogyorós,Tăuţii-Măgherăuş,RO
Misztice,Imszticseve,UA
Misztótfalu,Tăuţii de Jos,RO
Mitrovica,Sremska Mitrovica,YU
Mitta,Kostolné Mitice,SK
Mittye,Mititei,RO
Mlincseki,Mlynčeky,SK
Mocs,Mociu,RO
Mocsár,Močarany,SK
Mocsármány,Močarmany,SK
Mocsáros,Moceriş,RO
Mocsolya,Valea Pomilor,RO
Mocsonok,Močenok,SK
Modor,Modra,SK
Módos,Jaša Tomić,YU
Modra,Modra,SK
Modrafalva,Mudrovce,SK
